a,d,fl,fw,gh,inl,inw,k,mt,pl,pw,sh,sl,sw,uf,freq,s11,gain,bandwidth
50.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.38026,-39.57826173857,9.609152521506466,0.03121020334948399
50.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,0.3862,-27.972472149121,9.672312687896362,0.03119724084056097
50.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,0.39115,-24.776667869749,9.700339391711122,0.03367309548911057
50.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,0.39808,-21.830821007681,9.70891217919201,0.032356816144642475
50.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.38125,-24.694840066769,9.689269759131866,0.031996995512193205
50.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,0.38719,-20.015971791854,9.726171409768078,0.03185134354792413
50.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,0.39313,-18.623875600278,9.747904000964896,0.031719655026807514
50.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,0.94654,-17.911182130113,10.064085541485357
50.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.38323,-19.808583020476,9.745271434200575,0.03183497473322666
50.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,0.38818,-18.038006555772,9.769409747371753,0.031992367749273054
50.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,0.99406,-17.3244996288,10.759820482349
50.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,0.99307,-16.246559646859,10.468560595325
